Region,Constituency_Name,Candidate,Gender,Party,Party_Abbreviation,Party_Abbreviation_v2,Seat,Result,Count_1,Count_2,Count_3,Count_4,Count_5,Count_6,Count_7,Count_8,Count_9,Count_10,Count_11,Count_12,Count_13,Count_14,Count_15,Count_16,Total_Votes
Ulster,Donegal,Frank McBrearty,M,Non-Party,Others,NON-P.,0,Excluded,1914,1917,1921,1981,0,0,0,0,0,0,0,0,0,0,0,0,0
Ulster,Donegal,Gary Doherty,M,Sinn Féin,S.F.,S.F.,0,Excluded,4136,4138,4142,4183,4377,4420,4456,0,0,0,0,0,0,0,0,0,0
Ulster,Donegal,Ian McGarvey,M,Non-Party,Others,NON-P.,0,Excluded,982,982,989,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ulster,Donegal,Joe McHugh,M,Fine Gael,F.G.,F.G.,1,Elected,8412,8414,8443,8704,8795,8965,11016,11040,11061,11784,12469,12469,12218,0,0,0,12218
Ulster,Donegal,Michael Mooney,M,Non-Party,Others,NON-P.,0,Excluded,397,402,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ulster,Donegal,Niamh Kennedy,F,Non-Party,Others,NON-P.,0,Excluded,1836,1842,1848,1983,2057,0,0,0,0,0,0,0,0,0,0,0,0
Ulster,Donegal,Paddy Harte,M,Fine Gael,F.G.,F.G.,0,Excluded,2831,2832,2838,2934,3133,3244,0,0,0,0,0,0,0,0,0,0,0
Ulster,Donegal,Pádraig MacLochlainn,M,Sinn Féin,S.F.,S.F.,0,Excluded,5742,5743,5773,5893,5961,6008,6032,6567,8509,9143,9716,9852,9898,0,0,0,0
Ulster,Donegal,Pat The Cope Gallagher,M,Fianna Fáil,F.F.,F.F.,1,Elected,10198,10203,10362,10504,10694,10941,11160,11267,11398,11832,13138,12218,12218,0,0,0,12218
Ulster,Donegal,Paula Mary Flanagan,F,Green Party,G.P.,G.P.,0,Excluded,428,442,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ulster,Donegal,Pearse Doherty,M,Sinn Féin,S.F.,S.F.,1,Elected,10300,10305,10330,10524,10870,11053,11190,14600,12218,12218,12218,12218,12218,0,0,0,12218
Ulster,Donegal,Thomas Pringle,M,Non-Party,Others,NON-P.,1,Elected,6220,6239,6247,6498,6689,7389,7522,7617,7722,8491,9642,9888,10082,0,0,0,10082
Ulster,Donegal,Tim Jackson,M,Non-Party,Others,NON-P.,0,Excluded,3580,3585,3601,3752,4034,4319,4524,4650,4790,5864,0,0,0,0,0,0,0
Dublin,Dublin Bay North,Aodhán Ó Ríordáin,M,The Labour Party,LAB.,LAB.,0,Excluded,5675,5683,5701,5920,5932,6183,6201,6581,7057,7299,7320,7544,8547,9947,10329,0,0
Dublin,Dublin Bay North,Averil Power,F,Non-Party,Others,NON-P.,0,Excluded,4911,4934,5052,5145,5294,5529,5678,5768,5828,6237,6338,6674,7668,0,0,0,0
Dublin,Dublin Bay North,Cian O'Callaghan,M,Social Democrats,Others,S.D.,0,Excluded,3864,3875,3909,4093,4128,4179,4261,4313,4347,4587,4637,4796,0,0,0,0,0
Dublin,Dublin Bay North,Damien O'Neill,M,Non-Party,Others,NON-P.,0,Excluded,1446,1470,1506,1517,0,0,0,0,0,0,0,0,0,0,0,0,0
Dublin,Dublin Bay North,Deirdre Heney,F,Fianna Fáil,F.F.,F.F.,0,Excluded,3360,3376,3408,3448,3458,3498,3514,3577,3619,3943,3974,0,0,0,0,0,0
Dublin,Dublin Bay North,Denise Mitchell,F,Sinn Féin,S.F.,S.F.,1,Elected,5039,5051,5067,5081,5247,5255,5510,5515,5517,5573,8281,8386,8596,9047,11348,0,11348
Dublin,Dublin Bay North,Donna Cooney,F,Green Party,G.P.,G.P.,0,Excluded,1024,1038,1055,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dublin,Dublin Bay North,Finian McGrath,M,Non-Party,Others,NON-P.,1,Elected,5878,5913,5990,6075,6150,6213,6321,6396,6450,6828,6930,7353,8069,9553,11191,0,11191
Dublin,Dublin Bay North,Jimmy Guerin,M,Non-Party,Others,NON-P.,0,Excluded,756,782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dublin,Dublin Bay North,John Lyons,M,Anti-Austerity Alliance,Others,AAA-PBP,0,Excluded,4409,4455,4532,4600,4981,5002,6475,6494,6497,6682,7116,7209,7760,8476,0,0,0
Dublin,Dublin Bay North,Michael O'Brien,M,Anti-Austerity Alliance,Others,AAA-PBP,0,Excluded,2236,2253,2271,2282,2559,2562,0,0,0,0,0,0,0,0,0,0,0
Dublin,Dublin Bay North,Mícheál Macdonncha,M,Sinn Féin,S.F.,S.F.,0,Excluded,3527,3540,3563,3576,3663,3668,3787,3790,3791,3850,0,0,0,0,0,0,0
Dublin,Dublin Bay North,Naoise Ó Muirí,M,Fine Gael,F.G.,F.G.,0,Excluded,2868,2870,2875,2905,2908,3376,3381,0,0,0,0,0,0,0,0,0,0
Dublin,Dublin Bay North,Paul Clarke,M,Non-Party,Others,NON-P.,0,Excluded,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dublin,Dublin Bay North,Proinsias O'Conaráin,M,Non-Party,Others,NON-P.,0,Excluded,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dublin,Dublin Bay North,Richard Bruton,M,Fine Gael,F.G.,F.G.,1,Elected,9792,9804,9860,9924,9934,10568,10578,13092,12271,12271,12271,12271,12271,12271,12271,0,12271
Dublin,Dublin Bay North,Seán Haughey,M,Fianna Fáil,F.F.,F.F.,1,Elected,8007,8029,8094,8123,8157,8189,8232,8293,8345,9311,9378,11659,11956,12754,12754,0,12754
Dublin,Dublin Bay North,Stephanie Bernadette Regan,F,Fine Gael,F.G.,F.G.,0,Excluded,1857,1865,1883,1939,1957,0,0,0,0,0,0,0,0,0,0,0,0
Dublin,Dublin Bay North,Terence Flanagan,M,Renua Ireland,Others,R.I.,0,Excluded,3205,3273,3302,3348,3372,3418,3462,3525,3588,0,0,0,0,0,0,0,0
Dublin,Dublin Bay North,Tommy Broughan,M,Independents 4 Change,Others,I.4.C,1,Elected,5361,5398,5511,5578,5778,5856,6038,6065,6099,6583,6823,7003,7735,9477,11565,0,11565
Dublin,Dublin Bay South,Alan Macstiofain,M,Non-Party,Others,NON-P.,0,Excluded,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dublin,Dublin Bay South,Annette Mooney,F,Anti-Austerity Alliance,Others,AAA-PBP,0,Excluded,1728,1819,2149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
